transaction_date,volume,,,
8/19/15,11112.54,,,
8/20/15,10197.5,,,
8/21/15,8337.53,,,
8/22/15,2729.23,,,
8/23/15,1835.03,,,
8/24/15,10847.87,,,
8/25/15,9647.85,,,
8/26/15,10618.43,,,
8/27/15,10698.69,,,
8/28/15,8858.11,,,
8/29/15,3808.24,,,
8/30/15,1237.14,,,
8/31/15,3647.1,,,
9/1/15,11147.54,,,
9/2/15,10198.11,,,
9/3/15,10039.79,,,
9/4/15,8701.65,,,
9/5/15,3159.95,,,
9/6/15,1919.81,,,
9/7/15,9871.51,,,
9/8/15,10023.53,,,
9/9/15,10235.95,,,
9/10/15,10163.58,,,
9/11/15,9594.12,,,
9/12/15,3318.42,,,
9/13/15,2302.01,,,
9/14/15,9291.86,,,
9/15/15,9401.86,,,
9/16/15,9306.99,,,
9/17/15,9437.54,,,
9/18/15,8271.37,,,
9/19/15,3190.43,,,
9/20/15,1898.08,,,
9/21/15,8767.03,,,
9/22/15,9570.33,,,
9/23/15,10173.82,,,
9/24/15,10076.08,,,
9/25/15,8019.45,,,
9/26/15,2500.18,,,
9/27/15,2440.45,,,
9/28/15,10231.13,,,
9/29/15,8990.55,,,
9/30/15,10460.86,,,
10/1/15,9806.01,,,
10/2/15,10108.3,,,
10/3/15,2843.45,,,
10/4/15,2081.75,,,
10/5/15,9140.7,,,
10/6/15,10427.68,,,
10/7/15,10369.23,,,
10/8/15,9690.47,,,
10/9/15,8073.37,,,
10/10/15,3699.95,,,
10/11/15,2218.97,,,
10/12/15,9781.55,,,
10/13/15,10131,,,
10/14/15,11733.97,,,
10/15/15,10081.15,,,
10/16/15,9730.46,,,
10/17/15,3133.81,,,
10/18/15,1898.28,,,
10/19/15,10102.05,,,
10/20/15,9251.69,,,
10/21/15,8897.37,,,
10/22/15,10470.44,,,
10/23/15,8959.34,,,
10/24/15,2770.51,,,
10/25/15,1963.6,,,
10/26/15,9434.77,,,
10/27/15,9680.25,,,
10/28/15,10454.13,,,
10/29/15,9428.46,,,
10/30/15,9192.45,,,
10/31/15,3751.27,,,
11/1/15,2340.73,,,
11/2/15,10176.31,,,
11/3/15,10093.4,,,
11/4/15,11032.5,,,
11/5/15,9442.99,,,
11/6/15,9838.57,,,
11/7/15,3628.91,,,
11/8/15,2107.23,,,
11/9/15,9901.11,,,
11/10/15,11474.64,,,
11/11/15,10721.29,,,
11/12/15,11880.37,,,
11/13/15,9978.89,,,
11/14/15,3145.16,,,
11/15/15,2153.84,,,
11/16/15,10388.49,,,
11/17/15,10953.41,,,
11/18/15,11403.65,,,
11/19/15,11330.83,,,
11/20/15,9765.53,,,
11/21/15,3553.37,,,
11/22/15,2273.55,,,
11/23/15,10386.59,,,
11/24/15,11213.25,,,
11/25/15,10581.03,,,
11/26/15,10622.88,,,
11/27/15,9845.84,,,
11/28/15,3967.75,,,
11/29/15,2761.63,,,
11/30/15,9850.21,,,
12/1/15,10576.23,,,
12/2/15,10763.36,,,
12/3/15,12515.85,,,
12/4/15,10135.54,,,
12/5/15,3737.12,,,
12/6/15,2294.69,,,
12/7/15,11518.42,,,
12/8/15,11136.44,,,
12/9/15,12636.22,,,
12/10/15,11454.57,,,
12/11/15,9960.1,,,
12/12/15,3859.15,,,
12/13/15,2748.34,,,
12/14/15,10254.83,,,
12/15/15,9985.25,,,
12/16/15,10311.67,,,
12/17/15,11369.08,,,
12/18/15,9487.58,,,
12/19/15,3225.26,,,
12/20/15,2551.8,,,
12/21/15,10537.6,,,
12/22/15,10207.05,,,
12/23/15,8375.23,,,
12/24/15,3816.77,,,
12/25/15,151.14,,,
12/26/15,481.27,,,
12/27/15,1471.8,,,
12/28/15,3109.63,,,
12/29/15,5571.22,,,
12/30/15,5533.87,,,
12/31/15,3067.92,,,
1/1/16,404,,,
1/2/16,1361.51,,,
1/3/16,2092.71,,,
1/4/16,8566.78,,,
1/5/16,9929.73,,,
1/6/16,9380.18,,,
1/7/16,10193.58,,,
1/8/16,8656.11,,,
1/9/16,3341.46,,,
1/10/16,2057.3,,,
1/11/16,9325.51,,,
1/12/16,9612.19,,,
1/13/16,11135.66,,,
1/14/16,9834.21,,,
1/15/16,9147.37,,,
1/16/16,2422.57,,,
1/17/16,1906.23,,,
1/18/16,10735.61,,,
1/19/16,9972.83,,,
1/20/16,8153.15,,,
1/21/16,9934.6,,,
1/22/16,9414.59,,,
1/23/16,2793.11,,,
1/24/16,1777,,,
1/25/16,9642.06,,,
1/26/16,10237.85,,,
1/27/16,11579.22,,,
1/28/16,10107.64,,,
1/29/16,9700.94,,,
1/30/16,3244.52,,,
1/31/16,1704.57,,,
2/1/16,8783.57,,,
2/2/16,11004.41,,,
2/3/16,9150.06,,,
2/4/16,8029.44,,,
2/5/16,7884.89,,,
2/6/16,2633.25,,,
2/7/16,2026.28,,,
2/8/16,8855.71,,,
2/9/16,7618.87,,,
2/10/16,8966.57,,,
2/11/16,8895.33,,,
2/12/16,6813.19,,,
2/13/16,3124.1,,,
2/14/16,1669.25,,,
2/15/16,7358.78,,,
2/16/16,8583.87,,,
2/17/16,8109.58,,,
2/18/16,9340.48,,,
2/19/16,8012.78,,,
2/20/16,3145.27,,,
2/21/16,2539.93,,,
2/22/16,7945.19,,,
2/23/16,8424.7,,,
2/24/16,9726.04,,,
2/25/16,11214.88,,,
2/26/16,9582.61,,,
2/27/16,2703.84,,,
2/28/16,2212.54,,,
2/29/16,10050.15,,,
3/1/16,11611.06,,,
3/2/16,11422.39,,,
3/3/16,11569.62,,,
3/4/16,10154.09,,,
3/5/16,3039.84,,,
3/6/16,2392.62,,,
3/7/16,10489.46,,,
3/8/16,10509.21,,,
3/9/16,12445.48,,,
3/10/16,12217.85,,,
3/11/16,10037.51,,,
3/12/16,3593.98,,,
3/13/16,2114.21,,,
3/14/16,10905.19,,,
3/15/16,10074.91,,,
3/16/16,12024.35,,,
